"","nazwa","wyświetlacz","pamięć_RAM","pamieć_wbudowana","aparat_foto","cena","liczba_opinii","ocena","status_opinii"
"1","Galaxy J2 Core (2020)",5,1,16,8,80,17,"3","mniej niż 50 opinii"
"2","Galaxy Xcover FieldPro",5.1,4,64,12,1020,48,"5","mniej niż 50 opinii"
"3","Galaxy A2 Core",5,1,8,5,120,36,"5","mniej niż 50 opinii"
"4","Galaxy View2",17.3,3,64,0,660,50,"4","50-100 opinii"
"5","Galaxy M30",6.4,3,32,13,300,316,"4","więcej niż 100 opinii"
"6","Galaxy M20",6.3,3,32,13,300,358,"4","więcej niż 100 opinii"
"7","Galaxy M10",6.22,2,16,13,135,107,"4","więcej niż 100 opinii"
"8","Galaxy Tab Advanced2",10.1,3,32,8,200,8,"5","mniej niż 50 opinii"
"9","Galaxy Tab A 8.0 (2018)",8,2,32,8,130,40,"4.5","mniej niż 50 opinii"
"10","Galaxy A6s",6,6,64,12,300,86,"5","50-100 opinii"
"11","Galaxy A9 (2018)",6.3,6,64,24,359,320,"4.5","więcej niż 100 opinii"
"12","Galaxy A7 (2018)",6,4,64,12,309,223,"4","więcej niż 100 opinii"
"13","Galaxy Note9",6.4,6,128,12,820,1243,"5","więcej niż 100 opinii"
"14","Galaxy J6+",6,3,32,10,230,198,"4","więcej niż 100 opinii"
"15","Galaxy J4 Core",6,1,16,5,150,87,"3.5","50-100 opinii"
